subject,description,priority,category,predicted_priority,predicted_priority_confidence,predicted_category,predicted_category_confidence,error
Add support for XLSX exports,"We would like to request the ability to export reports in XLSX format, in addition to the existing options.",Low,Feature Request,,0.0,,0.0,
Question about billing cycle,"My billing cycle is supposed to be on the 15th of the month, but I was just charged today. Can you clarify why?",Medium,Billing,,0.0,,0.0,
Need to change primary email,"I need to update the primary email address on my account, but the interface does not allow me to change it.",Medium,Account,,0.0,,0.0,
Invoice for August 2025 is missing,I cannot find the invoice for August 2025 in my dashboard's billing section. Could you please resend it to our billing contact email?,Low,Billing,,0.0,,0.0,
Feature Idea: audit logs,It would be extremely helpful if you could add a audit logs. This would help us view reports much more efficiently.,Low,Feature Request,,0.0,,0.0,
User permission bug,A user with an 'Admin' role cannot access the billing history page; they are getting a 'permission denied' error.,High,Account,,0.0,,0.0,
Upgrade plan to Growth,We would like to upgrade our account to the Growth tier. Please provide instructions on how to proceed.,Low,Billing,,0.0,,0.0,
Data sync issue for Stellar Solutions,There is a data synchronization delay of over 15 minutes for new records to appear on the settings page. This is affecting our operations.,Medium,Technical,,0.0,,0.0,
Password reset not working,I requested a password reset but the email never arrived in my inbox. I've checked my spam folder and tried again.,High,Account,,0.0,,0.0,
Incorrect charge of $29,"I was charged $29 but my plan is the Growth plan, which should be a different price. Please correct this and refund the difference.",High,Billing,,0.0,,0.0,
Request to delete account,Please proceed with the permanent deletion of our account (NextGen Systems) and all associated data as per our company policy.,Medium,Account,,0.0,,0.0,
Cannot add a user,Multiple users are unable to add a user when using from our mobile app (iOS). The console shows a JavaScript error.,High,Technical,,0.0,,0.0,
API returning Timeout Error,Our application is receiving a consistent 'Timeout Error' from the /v1/auth/token endpoint. This started a few minutes ago.,Critical,Technical,,0.0,,0.0,
Help with SSO configuration,We are trying to set up SSO with Google Workspace and are running into an 'invalid configuration' error. Can you provide assistance or documentation?,Medium,Account,,0.0,,0.0,
UI bug on settings page,"When we try to save changes on the settings page, the dashboard behaves unexpectedly. It should do X but it does Y instead.",Medium,Technical,,0.0,,0.0,
Webhook delivery failing,We stopped receiving 'subscription.updated' webhooks. The last successful delivery was on 2025-08-27. We have checked our endpoint and it is healthy.,High,Technical,,0.0,,0.0,
Account access issue,"My account has been suspended or locked without warning, and I'm not sure why. I need access restored immediately to manage our services.",Critical,Account,,0.0,,0.0,
Service is down,"Our monitoring shows your service is unreachable. The status page is green, but we are fully down. This is critical.",Critical,Technical,,0.0,,0.0,
High latency in SA-East-1,We're observing response times of over 2.5s from the API gateway in SA-East-1. This is a major degradation.,High,Technical,,0.0,,0.0,
Request for better documentation,The documentation for the core application is a bit sparse. It would be great to have more code examples.,Low,Feature Request,,0.0,,0.0,
Export to JSON is broken,The data export feature for JSON is generating an empty or corrupted file. We have tried multiple times.,High,Technical,,0.0,,0.0,
Authentication failure for v2/reports,Our application is receiving a consistent '401 Unauthorized' from the /v2/reports endpoint. This started a few minutes ago.,High,Technical,,0.0,,0.0,
Suggestion for API endpoint /v1/auth/token,Could you enhance the /v1/auth/token endpoint to include sorting by metadata? This would save us from making multiple API calls.,Low,Feature Request,,0.0,,0.0,
Dashboard not loading,The login service is showing a blank white screen. No data is loading. This is impacting all our users since this morning.,Critical,Technical,,0.0,,0.0,
Add team member to DataCorp,How do I invite a new developer to a team? I can't find the option in the account settings.,Low,Account,,0.0,,0.0,
Integration with QuickBooks,We rely heavily on QuickBooks and would love to see a native integration to sync data between your platform and theirs.,Low,Feature Request,,0.0,,0.0,
UI/UX Improvement Suggestion,The current workflow for update payment info requires too many clicks. It could be streamlined by changing the UI on the user profile.,Low,Feature Request,,0.0,,0.0,
Payment method declined,My credit card on file was declined for our recent invoice. The card is valid and has funds. Can you please retry the charge?,High,Billing,,0.0,,0.0,
Data sync issue for NextGen Systems,There is a data synchronization delay of over a few seconds for new records to appear on the main dashboard. This is affecting our operations.,Medium,Technical,,0.0,,0.0,
Cannot view reports,Multiple users are unable to view reports when using via Safari on an iPad. The console shows a JavaScript error.,High,Technical,,0.0,,0.0,
Feature Idea: role-based access control,It would be extremely helpful if you could add a role-based access control. This would help us add a user much more efficiently.,Low,Feature Request,,0.0,,0.0,
API returning 500 Internal Server Error,Our application is receiving a consistent '500 Internal Server Error' from the /v1/auth/token endpoint. This started 2 hours ago.,Critical,Technical,,0.0,,0.0,
Request to delete account,Please proceed with the permanent deletion of our account (Solutions LLC) and all associated data as per our company policy.,Medium,Account,,0.0,,0.0,
Need to cancel subscription,Please cancel our Scale subscription at the end of the current billing cycle. We no longer require the service.,Medium,Billing,,0.0,,0.0,
User permission bug,A user with an 'Admin' role cannot access the billing history page; they are getting a 'permission denied' error.,High,Account,,0.0,,0.0,
Requesting a refund,"Due to the service outage for the past week, we are requesting a partial credit or refund for this month's service fee.",High,Billing,,0.0,,0.0,
Need to change primary email,"I need to update the primary email address on my account, but the interface does not allow me to change it.",Medium,Account,,0.0,,0.0,
Account access issue,"My account has been suspended or locked without warning, and I'm not sure why. I need access restored immediately to manage our services.",Critical,Account,,0.0,,0.0,
Dashboard not loading,The API is showing a blank white screen. No data is loading. This is impacting all our users since 2 hours ago.,Critical,Technical,,0.0,,0.0,
High latency in US-East-1,We're observing response times of over 500ms from the database cluster in US-East-1. This is a major degradation.,High,Technical,,0.0,,0.0,
API returning 503 Service Unavailable,Our application is receiving a consistent '503 Service Unavailable' from the /v2/reports endpoint. This started this morning.,Critical,Technical,,0.0,,0.0,
Webhook delivery failing,We stopped receiving 'subscription.updated' webhooks. The last successful delivery was this morning. We have checked our endpoint and it is healthy.,High,Technical,,0.0,,0.0,
Invoice for Q3 is missing,I cannot find the invoice for Q3 in my dashboard's billing section. Could you please resend it to our billing contact email?,Low,Billing,,0.0,,0.0,
Incorrect charge of $249.50,"I was charged $249.50 but my plan is the Scale plan, which should be a different price. Please correct this and refund the difference.",High,Billing,,0.0,,0.0,
Upgrade plan to Pro,We would like to upgrade our account to the Pro tier. Please provide instructions on how to proceed.,Low,Billing,,0.0,,0.0,
